sector,indicator,unit,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,source
4,"Restricted Deposits, Domestic currency",Billions,,,,,,,,,,,,,1708,1514,,2138,2117,3080,2830,4059,7045,7923,9744,7899,10369,10782,13284,19826,19122,33589,28436,42108,37415,46687,60148,51205,46442,45463,42608,37073,47078,60455,62713.85267,,,,,,,,,IMF
4,"Reserves, Claims on Central Bank: Securities, Domestic currency",Billions,,,,,,,,,,,,,144,24,,,,,,137,,,805,770,333,499,1500,58914,26883,549,2015,,60857,50953,138737,,8000,17400,,,,,124395.4034,,,,,,,,,IMF
4,"Restricted Deposits, Domestic currency",Billions,,,,,,,,,,,,,1708,1514,,2138,2117,3080,2830,4059,7045,7923,9744,7899,10369,10782,13284,19826,19122,33589,28436,42108,37415,46687,60148,51205,46442,45463,42608,37073,47078,60455,62713.85267,,,,,,,,,IMF
4,"Securities Other than Shares, Domestic currency",Billions,,,,,,,,,,,,,298,2544,,5490,5635,7703,10890,10865,18842,21012,35262,26265,26530,31048,68378,74421,89464,148271,282438,309571,210231,159385,96429,196967,275969,373779,408850,582982,752826,936522,1054420.25,,,,,,,,,IMF
4,"M2: Quasi-Money, Money plus Quasi-Money, Domestic currency",Billions,,,,,,,,,,,,,24878,28156,,44786,56339,70588,87395,145470,196994,250846,284144,378060,495447,648574,841011,1253997,1513544,1910587,2478310,2774281,3455221,4194620,5022639,5771436,6803390,7773306,8760391,9953670,11310702,12405120,13109658.07,,,,,,,,,"IMF, M2 = Money + Quasi-Money"
4,"Securities Other Than Shares, Liabilities of Central Bank: Securities, Domestic currency",Billions,,,,,,,,,,,,,280,159,,405,,,,,,,,,,,1500,68200,24136,2,,,59404,51791,140827,,8000,17400,,,,,124399.8,,,,,,,,,IMF
4,"Central or General Government Deposits, Domestic currency",Billions,,,,,,,,,,,,,225,738,,2272,3126,4639,5601,11089,7410,4390,4005,4553,9729,9079,28495,42745,36289,,,,,95,3763,-2417,149,20911,164930,286279,491243,567004,548705.688,,,,,,,,,IMF
4,"Other Items (Net), Domestic currency",Billions,,,,,,,,,,,,,-1013,482,,-8134,-6946,-9190,-12473,-16372,-21257,-23328,-22335,-23344,-29534,-34772,-51630,-70814,-67177,-97676,-97151,-163400,-211691,-272324,-291359,-322602,-333455,-341449,-365254,-392533,-416487,-391388,-424852.83,-534.8813953,,,,,,,,IMF
4,"Claims on Central or General Government, Domestic currency",Billions,,,,,,,,,,,,,5131,9128,,4853,7836,8643,11919,11289,11732,12421,15130,15223,21005,16952,21507,12915,12708,76068,82224,55180,43111,27585,11121,80450,31202,10798,68097,10498,6612,15785,99127.3022,,,,,,,,,IMF
4,"Other Items (Net), Domestic currency",Billions,,,,,,,,,,,,,-1522,2084,,-5388,-4909,-7430,-12388,-15083,-8268,-10767,-20421,-27737,-23684,4156,-42010,-72185,-109844,-167519,-395423,-452335,-466131,-663226,-621885,-614789,-751314,-821523,-957673,-1181923,-1294044,-1555605,-1797823.653,-534.8813953,,,,,,,,IMF
4,"Reserve Money, Domestic currency",Billions,,,,,,,,,,,,,14314,18296,,26343,31633,35599,38687,58220,72759,84945,95502,121633,141165,174505,230756,315712,378989,422253,439622,522809,655511,695653,825687,985307,1111230,1337857,1430149,1773183,1951300,2195294,1907868.181,,,,,,,,,"IMF, Base Money"
4,"Money, Seasonally adjusted, Domestic currency",Billions,,,,,,,,,,,,,,,,24801.52079,30992.27358,37531.17547,42687.4221,64612.60775,87433.47551,107914.3785,119885.8956,149214.3845,186618.5532,226417.318,272071.6018,404654.5447,403533.1313,527303.7045,584132.1123,641540.2276,787421.7338,928355.814,1136937.943,1356128.633,1612342.007,1885308.418,2071072.552,2342099.6,2797780.027,3348146.942,3094339.708,,,,,,,,,IMF
4,"Foreign Liabilities, Domestic currency",Billions,,,,,,,,,,,,,692.3508625,751.5920061,,4934.192192,6754.707289,7031.789024,7953.754084,8120.986652,7977.933546,8986.429607,9582.89124,9521.724033,8835.305632,7311.314638,7406.645745,7207.870389,6785.991848,21551.94462,22026.96572,23453.35802,23123.71887,23133.01987,21976.85265,21670.62197,21271.98886,22805.18651,22668.67251,22864.49285,19386.8175,54652.01234,53015.90828,45468.37362,,,,,,,,IMF
2,"International Liquidity, Monetary, Monetary Authorities, Other Liabilities (Non-Standardized Presentation), US dollar",Billions,,,,,,,,,,,,,-2.98023E-17,0.003855199,,0.377108942,0.537327384,0.507759681,0.50552059,0.513501568,0.487577511,0.535865818,0.557352464,0.537754059,0.485998415,0.391252702,0.38966158,0.371993298,0.326310597,0.707771473,0.678688887,0.642758738,0.626412601,0.614907777,0.578327308,0.553761261,0.53678573,0.568647625,0.55534098,0.552151372,0.384746411,0.373883726,0.355514944,,,,,,,,,IMF
4,"Foreign Assets, Domestic currency",Billions,,,,,,,,,,,,,4896.654269,4453.99816,,15189.32418,20221.89974,25790.1248,29182.10392,48024.09853,50938.74219,56805.30789,65178.09573,99493.62529,113374.664,146689.194,218189.7024,382670.9944,410434.4666,301465.4606,244718.2317,292540.9549,543877.7315,561660.2726,742830.7988,634098.9676,825772.1479,1118566.742,1283818.635,1834105.586,2217090.838,2545087.462,2057335.574,44933.49223,,,,,,,,IMF
4,"Reserve Money, of which: Currency Outside Other Depository Corporations, Domestic currency",Billions,,,,,,,,,,,,,10579.185,14217.964,,19370.008,22639.291,25101.19,26965.253,41254.039,52208.02,66319.8,74262.8,90584.3,109097.159,131178.788,158809.374,220514.375,236848.034,293225.454,337948.562,370991.559,455503.982,506738.83,624831.5464,726559.0598,851441.4876,977906.8904,1085018.136,1198094.877,1337920.866,1519725.888,1352910.359,,,,,,,,,IMF
4,"Capital Accounts, Domestic currency",Billions,,,,,,,,,,,,,534.135,-52.756,,1002.889,1183.473,3129.22,7853.098,8567.9,10014.704,12008.3,12735.7,15918.8,18584.353,18542.528,31200.074,48148.92,57065.268,82163.269,89927.336,117220.756,106163.8141,119470.666,93929.4384,108354.9228,109057.0365,131969.2666,161203.0098,191681.1119,205594.7618,208491.3162,245480.6401,,,,,,,,,IMF
4,"Claims on Other Depository Corporations, Domestic currency",Billions,,,,,,,,,,,,,5004.07,6791.987,,6779.11,7692.585,6775.847,6520.565,10312.3,14234,17776.2,19182.1,13565.2,14400.375,11024.216,8031.342,15613.51,12944.953,50760.537,127482.969,152361.79,45523.15879,28574.415,40872.77223,75765.70401,59280.12421,60128.93447,61781.79011,36870.40003,27334.6226,28399.76215,254561.5369,,,,,,,,,IMF
4,"Money, Domestic currency",Billions,,,,,,,,,,,,,14550.586,19013.798,,26240.009,32851.81,39783.046,45205.98,68360.139,90989.04,112408.3,125329.2,157024.9,197988.559,242001.906,292214.55,435167.526,433317.987,565212.994,625451.341,686119.843,840134.229,989320.873,1199399.881,1414822.954,1670877.375,1950525.92,2142345.347,2426501.478,2901584.946,3475769.382,3210309.694,,,,,,,,,IMF
4,"Quasi-Money, Domestic currency",Billions,,,,,,,,,,,,,10327.435,9142.37,,18546.119,23487.014,30805.055,42188.759,77109.8,106005.36,138437.4,158815.1,221034.9,297458.72,406571.829,548796.174,818829.902,1080225.898,1345373.87,1852858.898,2088161.259,2615087.17,3205299.598,3823239.446,4356613.54,5132512.56,5822780.341,6618045.186,7527168.332,8409117.442,8929351.074,9899348.381,,,,,,,,,IMF
1,"Output gap_reg, percent change, regression",Units,,,,,,,,,,,,-8.86,-6.93,-5.58,-3.52,-0.82,1.69,3.12,2.31,0.56,0.71,0.97,1.39,2.07,3.15,4.02,4.35,4.82,3.92,2.76,2.57,2.38,1.32,0.31,0.13,0.47,0.53,0.83,1.61,2.30,-1.29,-5.18,-3.40,-4.87,-4.43,-3.26,-0.14,,,,,ước tính
1,"Output gap_hp, percent change, HP Filter",Units,,,,,,,,,,,,-1.73,-1.15,-1.14,-0.38,1.11,2.55,3.06,1.51,-0.83,-1.17,-1.33,-1.25,-0.87,-0.02,0.68,0.95,1.47,0.7,-0.22,-0.11,0.03,-0.65,-1.27,-1.08,-0.37,0.08,0.78,2.02,3.19,0.12,-3.26,-1.05,-2.16,-1.44,-0.05,3.25,,,,,ước tính
1,"Output gap_pf, percent change, production function",Units,,,,,,,,,,,,-2.61,-0.60,-0.62,0.11,1.41,2.65,2.65,1.20,-0.86,-1.03,-1.10,-1.13,-0.99,-0.05,0.77,1.13,1.16,0.68,-0.02,-0.79,-0.56,-0.89,-1.12,-0.65,-0.01,0.32,0.84,1.89,2.86,-0.33,-3.49,-1.20,-2.12,-1.14,0.41,3.67,,,,,ước tính
